"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.663958363E-3,1.748364258E-1,1.607956238E0,9.409432983E0,9.547435263E0
8.360041655E-3,1.826202393E-1,1.611099701E0,9.553283844E0,9.689903230E0
1.838504168E-2,2.395019531E-1,1.623972931E0,9.812245331E0,9.948608330E0
2.841004165E-2,2.947370911E-1,1.575623474E0,9.971065063E0,1.009908896E1
3.843404166E-2,3.661386108E-1,1.552571411E0,9.946965179E0,1.007405836E1
4.845904163E-2,4.248165894E-1,1.525028687E0,9.789193268E0,9.916374663E0
5.848404166E-2,4.249662781E-1,1.480870514E0,9.697134705E0,9.818757319E0
6.850804167E-2,4.623884583E-1,1.415306854E0,9.739795990E0,9.852944865E0
7.853304164E-2,4.731660461E-1,1.406026154E0,9.724527740E0,9.837033873E0
8.855804167E-2,4.932243347E-1,1.403481445E0,9.723180542E0,9.836324022E0
9.858204168E-2,5.637277222E-1,1.341809692E0,9.883796539E0,9.990379183E0
1.086070416E-1,5.231620789E-1,1.414708099E0,9.750573578E0,9.866548670E0
1.186310417E-1,3.606001282E-1,1.564247131E0,9.898915100E0,1.002823123E1
1.286560416E-1,3.683839417E-1,1.547481995E0,9.668095093E0,9.798085016E0
1.386810417E-1,2.960842896E-1,1.436562653E0,9.645791473E0,9.756673168E0
1.487050417E-1,2.652484131E-1,1.509161682E0,9.708361359E0,9.828540379E0
1.587300416E-1,2.621049500E-1,1.530716858E0,9.665400696E0,9.789369934E0
1.687550417E-1,1.628613281E-1,1.583407288E0,9.546996918E0,9.678783632E0
1.787790417E-1,2.260299683E-2,1.576222229E0,9.478589172E0,9.608779325E0
1.888040417E-1,5.358856201E-2,1.579964447E0,9.578581238E0,9.708160378E0
1.988290417E-1,1.540296936E-1,1.606159973E0,9.669442291E0,9.803141804E0
2.088530416E-1,2.167492676E-1,1.589394836E0,9.717342682E0,9.848852978E0
2.188780417E-1,2.329156494E-1,1.606309662E0,9.770482178E0,9.904382990E0
2.289030416E-1,2.026785278E-1,1.576970673E0,9.776320038E0,9.904763933E0
2.389270416E-1,2.005828857E-1,1.569935303E0,9.801916809E0,9.928872216E0
2.489520417E-1,1.755848694E-1,1.571581879E0,9.815538483E0,9.942107189E0
2.589770416E-1,1.851649475E-1,1.559307404E0,9.797426147E0,9.922463643E0
2.690010417E-1,2.600093079E-1,1.567091217E0,9.780960388E0,9.909115290E0
2.790260417E-1,3.610491943E-1,1.563498688E0,9.840237122E0,9.970213201E0
2.890510416E-1,4.906796265E-1,1.531614990E0,9.918075256E0,1.004762797E1
2.990750417E-1,6.053411865E-1,1.502874756E0,9.976154480E0,1.010686542E1
3.091000416E-1,6.221063232E-1,1.492845612E0,9.976453857E0,1.010669263E1
3.191240416E-1,5.372328186E-1,1.487007751E0,9.868977356E0,9.994824921E0
3.291490417E-1,4.074526978E-1,1.486708374E0,9.681417389E0,9.803375039E0
3.391740416E-1,3.161425781E-1,1.474284210E0,9.568402405E0,9.686474314E0
3.491980417E-1,3.141966248E-1,1.510059814E0,9.570048981E0,9.693546186E0
3.592230417E-1,3.653901672E-1,1.573976898E0,9.603279877E0,9.738269746E0
3.692480417E-1,3.344046021E-1,1.609153748E0,9.595346375E0,9.735084708E0
3.792720417E-1,2.990780640E-1,1.626817017E0,9.573791199E0,9.715629635E0
3.892970416E-1,3.294648743E-1,1.614243164E0,9.624685364E0,9.764675952E0
3.993220417E-1,4.923262024E-1,1.621278534E0,9.669142914E0,9.816478690E0
4.093460417E-1,6.664141846E-1,1.633553009E0,9.713301086E0,9.872224739E0
4.193710416E-1,6.259982300E-1,1.559457092E0,9.626631317E0,9.772195798E0
4.293960417E-1,5.451663208E-1,1.514849854E0,9.551337891E0,9.686074122E0
4.394200417E-1,4.959187317E-1,1.502575378E0,9.549541626E0,9.679742425E0
4.494450417E-1,4.670288086E-1,1.474284210E0,9.614506531E0,9.738088399E0
4.594690417E-1,5.056484985E-1,1.490450592E0,9.724228363E0,9.850773606E0
4.694940416E-1,5.466632080E-1,1.486259308E0,9.842332764E0,9.968917776E0
4.795190417E-1,6.325845337E-1,1.474134521E0,9.938582611E0,1.006720716E1
4.895430417E-1,6.697073364E-1,1.438807983E0,1.002704865E1,1.015186588E1
4.995680416E-1,7.303312683E-1,1.392853546E0,1.008228378E1,1.020420850E1
5.095940417E-1,7.948471069E-1,1.389261017E0,1.002016296E1,1.014719143E1
5.196180416E-1,8.147557068E-1,1.340163116E0,9.939181366E0,1.006216628E1
5.296430417E-1,7.539820862E-1,1.316811676E0,9.787846069E0,9.904767168E0
5.396680416E-1,5.924679565E-1,1.226100311E0,9.726473694E0,9.821335488E0
5.496920416E-1,4.977149963E-1,1.150956573E0,9.999356232E0,1.007767564E1
5.597170417E-1,5.899232483E-1,1.256636810E0,1.000354752E1,1.009941129E1
5.697420416E-1,7.162605286E-1,1.275347900E0,9.962832184E0,1.006963587E1
5.797660417E-1,7.105723572E-1,1.285975800E0,9.950707397E0,1.005858959E1
5.897910417E-1,5.360353088E-1,1.409169617E0,9.811945953E0,9.927103115E0
5.998160416E-1,2.032772827E-1,1.467847595E0,9.956994324E0,1.006665953E1
6.098400417E-1,-2.574645996E-2,1.545835419E0,1.011820908E1,1.023564482E1
6.198650416E-1,1.242416382E-1,1.559906158E0,9.791588287E0,9.915843101E0
6.298890417E-1,4.189787292E-1,1.534608765E0,9.501042480E0,9.633295150E0
6.399140417E-1,6.475534058E-1,1.474284210E0,9.364676056E0,9.502104871E0
6.499390416E-1,8.885522461E-1,1.517095184E0,9.336684265E0,9.500777650E0
6.599630417E-1,9.217831421E-1,1.451531525E0,9.214687958E0,9.373745361E0
6.699880417E-1,8.039781189E-1,1.455423431E0,9.151968384E0,9.301782812E0
6.800130417E-1,7.237449646E-1,1.444795532E0,9.138795776E0,9.280561898E0
6.900370417E-1,4.920268250E-1,1.374292145E0,9.292975159E0,9.406920676E0
7.000620416E-1,1.416055298E-1,1.376088409E0,9.591005402E0,9.690255727E0
7.100870417E-1,1.032852173E-2,1.464105377E0,1.001507355E1,1.012153197E1
7.201110417E-1,2.993774414E-2,1.537153473E0,1.023122406E1,1.034609505E1
7.301360416E-1,2.477348328E-1,1.665586395E0,1.025158173E1,1.038895945E1
7.401600417E-1,4.004173279E-1,1.547481995E0,1.009785141E1,1.022358243E1
7.501850416E-1,5.126838684E-1,1.522334290E0,9.866732025E0,9.996636799E0
7.602100417E-1,5.104385376E-1,1.450034637E0,9.677824860E0,9.799155166E0
7.702340417E-1,4.102967834E-1,1.349144440E0,9.680219879E0,9.782391889E0
7.802590416E-1,4.593946838E-1,1.294358368E0,9.780361633E0,9.876329315E0
7.902840417E-1,5.078938293E-1,1.285526733E0,9.902657318E0,9.998657764E0
8.003080417E-1,4.936734009E-1,1.275946655E0,9.959539032E0,1.005306774E1
8.103330416E-1,4.975653076E-1,1.356479187E0,9.959389343E0,1.006364959E1
8.203580417E-1,4.770579529E-1,1.413660278E0,9.908794556E0,1.002049047E1
8.303820416E-1,4.896318054E-1,1.447639618E0,9.845625916E0,9.963520936E0
8.404070417E-1,4.993615723E-1,1.512454834E0,9.762548676E0,9.891624652E0
8.504320417E-1,3.832031250E-1,1.514700165E0,9.618697815E0,9.744768282E0
8.604560416E-1,3.043171692E-1,1.497635651E0,9.503886566E0,9.625974306E0
8.704810417E-1,2.998265076E-1,1.470841370E0,9.522747345E0,9.640331284E0
8.805050417E-1,3.070115662E-1,1.459315338E0,9.624236298E0,9.739085258E0
8.905300417E-1,3.604504395E-1,1.487007751E0,9.818831635E0,9.937332199E0
9.005550417E-1,3.427871704E-1,1.435664520E0,9.919572144E0,1.002878593E1
9.105790416E-1,3.520678711E-1,1.422940979E0,1.001447479E1,1.012118660E1
9.206040417E-1,3.526666260E-1,1.452729034E0,1.001372635E1,1.012469806E1
9.306290417E-1,3.415896606E-1,1.423090668E0,9.945019226E0,1.005212803E1
9.406530416E-1,4.114942932E-1,1.417701874E0,9.910441132E0,1.001978291E1
9.506780417E-1,4.323010254E-1,1.448088684E0,9.862989807E0,9.978096660E0
9.607030416E-1,3.700305176E-1,1.442849579E0,9.814041595E0,9.926436920E0
9.707270417E-1,3.092568970E-1,1.432371368E0,9.737850037E0,9.847489574E0
9.807520417E-1,3.701802063E-1,1.426234131E0,9.758207703E0,9.868829452E0
9.907770416E-1,3.902384949E-1,1.449286194E0,9.797725525E0,9.912020077E0
1.000801042E0,3.978726196E-1,1.487007751E0,9.858050079E0,9.977507005E0
1.010826042E0,3.917353821E-1,1.492396545E0,9.832453308E0,9.952780622E0
1.020850042E0,3.878434753E-1,1.499581604E0,9.762398987E0,9.884513216E0
1.030875042E0,4.921765137E-1,1.476679230E0,9.465117188E0,9.592250134E0
1.040900042E0,5.590873718E-1,1.515298920E0,9.441915436E0,9.579064495E0
1.050924042E0,5.414241028E-1,1.566043396E0,9.648785248E0,9.790030068E0
