"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.596727500E-1,-3.792267293E-2,-4.347822815E-2,7.116784900E-2,9.161521804E-2
6.696977500E-1,-3.049618378E-2,-3.278617188E-2,6.685139984E-2,8.046154331E-2
6.797227500E-1,-1.519603562E-2,-2.561257780E-2,4.422779381E-2,5.331999049E-2
6.897477499E-1,-3.928467631E-3,-2.147748694E-2,1.715010405E-2,2.776403018E-2
6.997727500E-1,-6.344836671E-3,-3.285865113E-2,-9.647854604E-4,3.347952684E-2
7.097967500E-1,-2.439467609E-2,-4.086996987E-2,-6.128122099E-3,4.798967118E-2
7.198217500E-1,-3.783493489E-2,-3.140577674E-2,-1.252670214E-2,5.074173211E-2
7.298467500E-1,-4.690912366E-2,-1.165470667E-2,-1.089951023E-2,4.954893938E-2
7.398717499E-1,-6.068229303E-2,-2.277693478E-3,-8.498532698E-3,6.131682993E-2
7.498957500E-1,-7.810948789E-2,1.209485438E-2,3.799944650E-3,7.913164462E-2
7.599207500E-1,-8.023559302E-2,2.902059257E-2,5.386370700E-3,8.549244510E-2
7.699457500E-1,-6.862767786E-2,2.885707468E-2,-6.199179217E-3,7.470554698E-2
7.799707500E-1,-5.325128138E-2,2.004065551E-2,-2.307310514E-2,6.139784217E-2
7.899957499E-1,-3.680919111E-2,6.698881043E-4,-4.491901398E-2,5.807824995E-2
8.000197500E-1,-1.800294779E-2,-2.153071389E-2,-5.820807070E-2,6.462087328E-2
8.100447500E-1,-3.792136558E-4,-2.628605440E-2,-5.953725427E-2,6.508290947E-2
8.200650417E-1,2.283439413E-2,-1.442032121E-2,-5.872767419E-2,6.463973186E-2
8.300900416E-1,4.350744560E-2,2.612990793E-3,-5.905790627E-2,7.340001251E-2
8.401150416E-1,4.629937932E-2,1.954235509E-2,-6.142595783E-2,7.936425179E-2
8.501390417E-1,3.267385066E-2,1.761182956E-2,-6.735042483E-2,7.690147451E-2
8.601640416E-1,5.495290738E-3,-1.987531036E-2,-6.583374739E-2,6.898774150E-2
