"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.096374996E-3,1.291023195E-1,4.509534314E-2,3.707087785E-2,1.416871513E-1
1.112037501E-2,6.480641663E-2,3.667575866E-2,4.499964416E-2,8.700546468E-2
2.114437497E-2,2.285504341E-2,-2.278500609E-2,3.003555723E-2,4.408678044E-2
3.116837499E-2,2.740986180E-3,-8.752351999E-2,8.094305173E-3,8.793973694E-2
4.119237501E-2,1.876123250E-3,-1.141861305E-1,-5.699276924E-3,1.143436661E-1
5.121637497E-2,7.331342436E-3,-1.097397134E-1,-6.663873792E-3,1.101860267E-1
6.124037498E-2,1.024398766E-2,-7.211759686E-2,1.654275693E-4,7.284170802E-2
7.126437500E-2,1.213483326E-2,-3.247458115E-2,8.585277945E-3,3.571497720E-2
8.128837496E-2,1.505902968E-2,2.556889085E-3,1.890625432E-2,2.430552425E-2
9.131145832E-2,1.854004897E-2,2.394393645E-2,2.007564716E-2,3.633286553E-2
1.013354583E-1,2.678815089E-2,2.590393648E-2,7.874695584E-3,3.808713410E-2
1.113594583E-1,2.662170306E-2,1.858210750E-2,-1.308682840E-3,3.249188273E-2
1.213834583E-1,2.036012523E-2,1.606036676E-3,-2.341561252E-3,2.055716328E-2
1.314074583E-1,-5.137304543E-4,-1.439476851E-2,3.484902903E-3,1.481950835E-2
1.414314583E-1,-2.685664594E-2,-1.881677285E-2,1.120667718E-2,3.465458101E-2
1.514554583E-1,-5.227252468E-2,-5.239178892E-3,1.512977853E-2,5.466969939E-2
1.614794583E-1,-6.445020437E-2,1.687466167E-2,1.165467873E-2,6.763441865E-2
1.715034583E-1,-6.640256941E-2,2.392431721E-2,1.095613092E-2,7.142626256E-2
1.815264583E-1,-5.866396800E-2,2.274164930E-2,9.861145169E-3,6.368583781E-2
1.915504583E-1,-4.965715483E-2,2.043641731E-2,7.964974269E-3,5.428555050E-2
2.015744583E-1,-3.845000640E-2,8.295357227E-3,9.856618941E-3,4.055081849E-2
2.115984583E-1,-3.262141347E-2,-6.612751633E-3,9.155409411E-3,3.452110401E-2
2.216224583E-1,-2.936113067E-2,-1.723836176E-2,1.701435540E-3,3.409005710E-2
2.316464583E-1,-2.724738047E-2,-2.454794012E-2,-5.995356478E-4,3.667942951E-2
2.416704583E-1,-3.181739151E-2,-3.090056032E-2,-5.263527855E-4,4.435615040E-2
2.516944583E-1,-3.840605170E-2,-3.250458091E-2,2.634553239E-3,5.038366261E-2
2.617184583E-1,-4.382086545E-2,-2.365505882E-2,-1.619529910E-3,4.982422035E-2
2.717424583E-1,-3.915154561E-2,-1.592150517E-2,-6.547177210E-3,4.276918728E-2
2.817654583E-1,-3.329084069E-2,-1.588511467E-2,-5.630936939E-3,3.731386327E-2
2.917894583E-1,-2.718447521E-2,-2.104472369E-2,-1.141113695E-3,3.439735787E-2
3.018134583E-1,-2.227687649E-2,-1.106389053E-2,7.548564579E-3,2.599326311E-2
3.118374583E-1,-2.045394294E-2,3.398405155E-3,1.117312722E-2,2.355316775E-2
3.218614583E-1,-2.298074216E-2,7.281649159E-4,1.044096984E-2,2.525190261E-2
3.318854583E-1,-3.292498738E-2,-4.155806266E-3,6.975398865E-3,3.391138022E-2
3.419094583E-1,-4.572834074E-2,6.482093595E-4,4.845459014E-3,4.598890949E-2
3.519334583E-1,-4.942774028E-2,9.448358789E-3,5.368237384E-3,5.060821045E-2
3.619574583E-1,-4.518918321E-2,7.637307514E-3,2.394813579E-3,4.589254707E-2
3.719814583E-1,-3.441775963E-2,7.474436425E-4,-4.913433455E-3,3.477474196E-2
3.820044583E-1,-2.296346612E-2,-1.063290518E-2,-4.205883481E-3,2.565285373E-2
3.920284583E-1,-1.531300414E-2,-1.748948172E-2,-5.291234702E-4,2.325188247E-2
4.020524583E-1,-1.190091483E-2,-7.817429490E-3,-3.677617293E-3,1.470608196E-2
4.120764583E-1,-1.011952572E-2,2.776891924E-3,-3.283469239E-3,1.099532172E-2
4.221004583E-1,-6.382692140E-3,4.014961887E-3,-1.005685143E-2,1.256976287E-2
4.321244583E-1,-3.199681873E-3,2.737531904E-4,-1.851105504E-2,1.878755076E-2
4.421484583E-1,-2.823355026E-4,-2.768763574E-3,-2.926745266E-2,2.939948214E-2
4.521724583E-1,4.448237363E-3,1.948227407E-3,-4.354519024E-2,4.381513436E-2
4.621964583E-1,4.042258486E-3,4.212147556E-3,-5.026158318E-2,5.059949391E-2
4.722204583E-1,-4.206616431E-3,-5.622107536E-3,-5.325816944E-2,5.371904995E-2
4.822434583E-1,-1.629577577E-2,-1.956573129E-2,-4.943408445E-2,5.560664397E-2
4.922674583E-1,-2.461975254E-2,-2.310533822E-2,-5.346744135E-2,6.323571897E-2
5.022914583E-1,-2.000305615E-2,-2.185026929E-2,-6.016534194E-2,6.706284288E-2
5.123154583E-1,-9.395153262E-3,-1.739213802E-2,-6.799690425E-2,7.081196479E-2
5.223394583E-1,1.136976643E-3,-1.212142315E-2,-7.237908244E-2,7.339586630E-2
5.323634583E-1,7.464913186E-3,-1.263168454E-2,-7.402811199E-2,7.546817706E-2
5.423874583E-1,9.541234002E-3,-1.629551686E-2,-6.499082595E-2,6.767855254E-2
5.524114583E-1,1.393025741E-3,-1.935202628E-2,-5.193627998E-2,5.544202937E-2
5.624354583E-1,-1.612498797E-2,-1.362021640E-2,-3.663609922E-2,4.228154796E-2
5.724584583E-1,-3.021683730E-2,1.589788590E-4,-2.764606848E-2,4.095592306E-2
5.824824583E-1,-3.775076568E-2,1.835845597E-2,-2.031135373E-2,4.663372498E-2
5.925064583E-1,-3.946983814E-2,2.812400088E-2,-1.128297113E-2,4.976075749E-2
6.025304583E-1,-3.549439088E-2,3.083089739E-2,-3.905050922E-3,4.717674682E-2
6.125544583E-1,-3.460622579E-2,2.729634941E-2,2.282537520E-3,4.413492417E-2
6.225784583E-1,-3.813925013E-2,2.773853950E-2,9.818268009E-3,4.817081441E-2
6.326024583E-1,-4.452417791E-2,3.953900561E-2,1.883706450E-2,6.245454653E-2
6.426264583E-1,-4.451600835E-2,5.565980077E-2,2.507141419E-2,7.555305573E-2
6.526504583E-1,-4.127174616E-2,5.389492214E-2,2.450735681E-2,7.217084038E-2
6.626744583E-1,-3.151356429E-2,2.714449912E-2,1.593123376E-2,4.453911512E-2
6.726974583E-1,-3.303982317E-2,-1.286443695E-2,7.812855765E-3,3.630653342E-2
6.827214583E-1,-3.894003853E-2,-3.128092363E-2,4.791605752E-3,5.017750761E-2
6.927454583E-1,-4.408419877E-2,-1.198392734E-2,7.102963049E-3,4.623292312E-2
7.027694583E-1,-3.671197966E-2,1.084957737E-2,1.522171870E-2,4.119688701E-2
7.127934583E-1,-1.767837070E-2,2.173285186E-2,1.754532754E-2,3.305571296E-2
7.228174583E-1,5.625088234E-3,1.098779496E-2,2.174246870E-2,2.500216392E-2
7.328414583E-1,3.266176581E-2,1.360967755E-2,2.465143986E-2,4.312432905E-2
7.428654583E-1,5.302308872E-2,2.093102597E-2,3.028487042E-2,6.455020652E-2
7.528894583E-1,5.673873052E-2,2.077602968E-2,3.748472780E-2,7.110577873E-2
7.629124583E-1,4.293780029E-2,6.498900242E-3,4.199852422E-2,6.041329684E-2
7.729364583E-1,1.961117238E-2,-1.019112952E-2,4.008557647E-2,4.577456329E-2
7.829604583E-1,-3.509946633E-3,-2.987387590E-2,3.020140715E-2,4.262502998E-2
7.929844583E-1,-2.489007078E-2,-4.844250157E-2,1.567892544E-2,5.667468822E-2
8.030084583E-1,-3.312381357E-2,-5.925491452E-2,1.528857276E-3,6.790190958E-2
8.130324583E-1,-3.094720840E-2,-4.548237845E-2,-3.851526882E-3,5.514717325E-2
8.230564583E-1,-2.039308846E-2,-6.580295973E-3,4.717353266E-3,2.194155359E-2
8.330804583E-1,-8.015447529E-4,3.228427842E-2,1.664352231E-2,3.633075752E-2
8.431044583E-1,2.113256231E-2,4.919213802E-2,2.293300256E-2,5.824409188E-2
