"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.050541643E-3,9.593108296E-2,6.961283088E-2,3.412143141E-2,1.233409542E-1
8.928458323E-3,1.609083824E-2,8.695631474E-2,1.811834238E-2,9.026954126E-2
1.890745841E-2,-4.084275290E-2,4.295770079E-2,-1.084353402E-2,6.025841644E-2
2.888645837E-2,-6.865812093E-2,-2.810663916E-2,-4.467584193E-2,8.660168351E-2
3.886545834E-2,-7.560843229E-2,-8.700111508E-2,-6.416272372E-2,1.319192335E-1
4.884445842E-2,-6.889380515E-2,-1.070122346E-1,-6.884657592E-2,1.446990869E-1
5.882345838E-2,-5.002264678E-2,-7.869909704E-2,-6.929558516E-2,1.161795644E-1
6.880245835E-2,-2.078780346E-2,-1.802112162E-2,-6.293912232E-2,6.868934936E-2
7.878145843E-2,8.311759681E-3,3.671243414E-2,-5.330486968E-2,6.525563042E-2
8.876045840E-2,2.634216286E-2,7.161083817E-2,-4.127519205E-2,8.675058021E-2
9.874045837E-2,3.485175967E-2,8.407309651E-2,-2.247114480E-2,9.374370943E-2
1.087194583E-1,3.748533875E-2,6.713087857E-2,-6.640485371E-4,7.689048341E-2
1.186984584E-1,3.041118383E-2,4.504740611E-2,1.355430204E-2,5.601631908E-2
1.286774584E-1,1.853351668E-2,2.628426626E-2,1.730642840E-2,3.652213517E-2
1.386564584E-1,4.855521955E-3,1.739330217E-2,7.063110359E-3,1.939047658E-2
1.486354584E-1,-1.047897991E-2,1.831156388E-2,-2.893577330E-3,2.129542630E-2
1.586144584E-1,-1.838910021E-2,1.808785647E-2,-1.848052815E-2,3.173104913E-2
1.685934584E-1,-2.204747684E-2,1.812883094E-2,-3.358463570E-2,4.407577001E-2
1.785724583E-1,-2.176917531E-2,2.382027172E-2,-4.193950444E-2,5.291714629E-2
1.885514584E-1,-2.091855742E-2,1.962420903E-2,-3.849207237E-2,4.800349217E-2
1.985304584E-1,-1.830945909E-2,1.057079248E-2,-2.465694956E-2,3.247988774E-2
2.085094583E-1,-1.360152010E-2,-4.016226158E-4,-1.497804187E-2,2.023621477E-2
2.184884584E-1,-6.723107770E-3,-2.025016211E-2,-1.449600980E-2,2.579541710E-2
2.284684584E-1,-1.193329226E-3,-3.839264065E-2,-1.873736829E-2,4.273766326E-2
2.384474584E-1,-6.377438549E-3,-4.407342896E-2,-2.253849804E-2,4.991114862E-2
2.484264583E-1,-1.360525563E-2,-3.550723195E-2,-2.196845971E-2,4.391445916E-2
2.584054584E-1,-1.632327773E-2,-2.245534770E-2,-1.953512989E-2,3.394574106E-2
2.683844584E-1,-1.527292840E-2,-1.474670041E-2,-1.570136473E-2,2.640568820E-2
2.783634583E-1,-7.088502403E-3,-1.447159518E-2,-1.504196506E-2,2.204392538E-2
2.883424584E-1,-7.691793144E-5,-1.354230568E-2,-1.346447505E-2,1.909691200E-2
2.983214584E-1,-1.390122576E-3,-1.091589779E-2,-1.327192876E-2,1.724045702E-2
3.083004584E-1,-1.014234498E-2,-2.283094916E-3,-1.224167738E-2,1.606045918E-2
