"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.896958380E-3,1.385102272E-1,-2.203593217E-2,5.350275338E-2,1.501106591E-1
1.287595835E-2,6.329214573E-2,6.824623048E-2,8.617099375E-2,1.268419641E-1
2.285495843E-2,-2.486336976E-3,1.223717779E-1,1.118470654E-1,1.658034979E-1
3.283395839E-2,-3.937004879E-2,1.202110872E-1,1.292972267E-1,1.808825007E-1
4.281195835E-2,-3.952824324E-2,6.206149980E-2,1.282223761E-1,1.478346695E-1
5.279095843E-2,-1.306286175E-2,-1.990493946E-2,1.139496043E-1,1.164102972E-1
6.276995840E-2,1.754804514E-2,-9.576161951E-2,9.220968932E-2,1.340926861E-1
7.274895837E-2,3.881363571E-2,-1.294018775E-1,8.074769378E-2,1.573897528E-1
8.272795833E-2,4.177400470E-2,-1.225532815E-1,7.896178216E-2,1.516553241E-1
9.270695841E-2,2.992134914E-2,-9.655404091E-2,9.056185186E-2,1.357181600E-1
1.026859584E-1,9.440841153E-3,-7.149982452E-2,1.083001047E-1,1.301163598E-1
1.126639583E-1,-1.341545582E-2,-4.750181362E-2,1.319721490E-1,1.409008335E-1
1.226429584E-1,-3.123519942E-2,-3.036969900E-2,1.618701220E-1,1.676302260E-1
1.326219584E-1,-4.152482748E-2,-3.307140619E-2,1.851474494E-1,1.926073914E-1
1.426009584E-1,-4.663916305E-2,-4.005661234E-2,1.961010247E-1,2.055124221E-1
1.525799584E-1,-4.948456213E-2,-4.983680695E-2,1.945763081E-1,2.068631647E-1
1.625589584E-1,-5.437998474E-2,-5.839753896E-2,1.786231697E-1,1.956366327E-1
1.725379584E-1,-5.515777692E-2,-6.876908243E-2,1.602587551E-1,1.829055375E-1
1.825169583E-1,-5.730747804E-2,-7.984837145E-2,1.368716806E-1,1.685044997E-1
1.924959584E-1,-5.633784086E-2,-8.723324537E-2,1.156254262E-1,1.554118097E-1
2.024739584E-1,-5.418254435E-2,-1.010646373E-1,9.233874828E-2,1.472285756E-1
2.124529583E-1,-5.186186731E-2,-1.097177789E-1,7.709135115E-2,1.437731571E-1
2.224319584E-1,-4.935690016E-2,-1.170617118E-1,6.533721834E-2,1.428583217E-1
2.324109584E-1,-5.036744103E-2,-1.187784523E-1,6.069451571E-2,1.425798867E-1
2.423899584E-1,-5.353979766E-2,-1.129900739E-1,6.440190226E-2,1.406444871E-1
2.523689584E-1,-5.055778474E-2,-1.122682244E-1,7.597751170E-2,1.446818098E-1
2.623479584E-1,-4.434223101E-2,-1.069323123E-1,9.163024276E-2,1.476375773E-1
2.723269584E-1,-4.278109223E-2,-9.198445827E-2,1.106209084E-1,1.500944629E-1
2.823049584E-1,-4.210491478E-2,-6.300606579E-2,1.282989830E-1,1.490074401E-1
2.922839584E-1,-4.065024480E-2,-2.664040588E-2,1.410835832E-1,1.492204111E-1
3.022629584E-1,-3.443283215E-2,-2.081001177E-3,1.371652633E-1,1.414364166E-1
3.122419583E-1,-2.450274490E-2,1.714349166E-2,1.259973496E-1,1.294975518E-1
3.222209584E-1,-1.431429014E-2,2.065566927E-2,1.133268178E-1,1.160798139E-1
3.321999584E-1,-4.613967612E-3,2.222041041E-2,9.938824922E-2,1.019463556E-1
3.421789584E-1,1.073745545E-3,1.730261743E-2,8.588442206E-2,8.761659348E-2
3.521579584E-1,4.203265533E-3,6.067140959E-3,7.680266351E-2,7.715650823E-2
3.621359584E-1,3.506582230E-3,2.512353240E-3,7.000068575E-2,7.013347306E-2
3.721149584E-1,-3.916195594E-3,-3.814519383E-3,6.852447987E-2,6.874221037E-2
3.820939584E-1,-1.177252084E-2,-4.908943083E-4,7.119429857E-2,7.216274227E-2
3.920729584E-1,-1.715530455E-2,9.277114645E-3,6.793452799E-2,7.067863485E-2
4.020519584E-1,-1.661228761E-2,1.885970123E-2,6.693743914E-2,7.150019013E-2
4.120309583E-1,-1.086450368E-2,2.371684089E-2,6.624327600E-2,7.119478631E-2
4.220099584E-1,-6.835673470E-3,2.217780054E-2,6.643688679E-2,7.037358307E-2
4.319879584E-1,-1.083357446E-2,1.432114094E-2,6.652939320E-2,6.891024287E-2
4.419669583E-1,-2.037594654E-2,-7.563452236E-4,6.639543921E-2,6.945578164E-2
4.519459584E-1,-2.941100113E-2,-2.537939884E-2,6.079932675E-2,7.215039158E-2
4.619249584E-1,-3.804177791E-2,-4.371712729E-2,4.920765385E-2,7.602471495E-2
4.719039584E-1,-4.141333327E-2,-5.539382249E-2,3.421599045E-2,7.716394071E-2
4.818829584E-1,-3.648435324E-2,-6.444671005E-2,2.002746612E-2,7.671757209E-2
4.918619584E-1,-3.257875144E-2,-7.335252315E-2,1.317300368E-2,8.133569772E-2
5.018409584E-1,-3.278088570E-2,-7.338527590E-2,1.318205800E-2,8.144784736E-2
5.118189583E-1,-3.700149804E-2,-7.906439900E-2,1.599320397E-2,8.874724007E-2
5.217979584E-1,-4.506714642E-2,-8.296832442E-2,1.618122309E-2,9.579468944E-2
5.317769584E-1,-5.822743848E-2,-8.311566710E-2,1.839117147E-2,1.031352699E-1
5.417559583E-1,-7.302583009E-2,-7.715471834E-2,2.024526522E-2,1.081457035E-1
5.517349584E-1,-8.774396777E-2,-7.193791121E-2,2.160705253E-2,1.155029509E-1
5.617139584E-1,-9.854654968E-2,-6.141949445E-2,2.339909412E-2,1.184537646E-1
5.716929584E-1,-1.079683527E-1,-4.972954839E-2,2.826837264E-2,1.221854904E-1
5.816719584E-1,-1.134392917E-1,-2.532646991E-2,3.410735354E-2,1.211330448E-1
5.916499584E-1,-1.094043478E-1,3.310434520E-3,3.834610060E-2,1.159771259E-1
6.016289584E-1,-9.458092600E-2,2.757822350E-2,4.028621316E-2,1.064381931E-1
6.116079583E-1,-7.162576914E-2,5.091164261E-2,3.748845309E-2,9.553863236E-2
6.215869584E-1,-3.963667899E-2,6.593187153E-2,3.452222422E-2,8.431999745E-2
6.315659584E-1,-1.571325818E-3,6.471706927E-2,2.937020361E-2,7.108710839E-2
6.415449583E-1,3.594116494E-2,5.112775415E-2,2.129922621E-2,6.602629491E-2
6.515239584E-1,5.746988952E-2,3.894033283E-2,9.484111331E-3,7.006487059E-2
6.615029584E-1,5.985262245E-2,2.768927626E-2,-2.556838095E-3,6.599674125E-2
6.714809584E-1,4.745452106E-2,1.704968140E-2,-1.674377359E-2,5.313169637E-2
6.814599584E-1,2.461498789E-2,1.826254767E-3,-2.693649009E-2,3.653501518E-2
6.914389584E-1,-4.642228596E-3,-9.358022362E-3,-2.692150511E-2,2.887715890E-2
7.014179584E-1,-2.676643990E-2,-2.054756135E-2,-2.378616668E-2,4.128469823E-2
7.113969583E-1,-3.818361834E-2,-2.481201291E-2,-1.981302910E-2,4.966065662E-2
7.213759584E-1,-3.552471846E-2,-2.572201379E-2,-1.444782596E-2,4.617756263E-2
7.313549584E-1,-2.980217524E-2,-1.890705340E-2,-1.039472781E-2,3.679261724E-2
7.413339583E-1,-2.108405344E-2,-6.303116679E-4,-1.163948979E-2,2.409174807E-2
7.513119584E-1,-2.469533682E-2,4.314713180E-3,-4.877443239E-2,5.483996413E-2
7.612909584E-1,-3.106188960E-2,-3.870246001E-3,-1.057575494E-1,1.102926972E-1
7.712699583E-1,-4.420077801E-2,-2.411513031E-2,-1.551753283E-1,1.631399117E-1
7.812489584E-1,-5.784787983E-2,-4.405501485E-2,-1.810351461E-1,1.950921466E-1
7.912279584E-1,-7.069844007E-2,-6.413298845E-2,-1.758535653E-1,2.000894452E-1
8.012069584E-1,-8.387602866E-2,-8.401854336E-2,-1.547789127E-1,1.950661827E-1
