"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.347958227E-3,5.581209064E-2,-3.514205292E-2,-2.313372307E-2,6.989365127E-2
8.631041739E-3,1.708946191E-2,-5.945298448E-2,-2.697213739E-2,6.748483732E-2
1.861004170E-2,-3.507091850E-2,-7.548972964E-2,-1.828011125E-2,8.522224518E-2
2.858904167E-2,-8.854559809E-2,-9.836655110E-2,-3.100094153E-3,1.323854671E-1
3.856804175E-2,-1.171993166E-1,-1.258539557E-1,6.235214882E-3,1.720865361E-1
4.854604171E-2,-1.332581788E-1,-1.410451531E-1,1.202013344E-2,1.944118336E-1
5.852504168E-2,-1.337135881E-1,-1.463246793E-1,1.450572908E-2,1.987477084E-1
6.850404176E-2,-1.184707135E-1,-1.252449602E-1,8.359153755E-3,1.726021016E-1
7.848304173E-2,-8.562060446E-2,-8.781489730E-2,-1.760195242E-3,1.226598646E-1
8.846204169E-2,-5.240885541E-2,-4.649328813E-2,-4.543997347E-3,7.020656578E-2
9.844104177E-2,-1.962699927E-2,-1.068983600E-2,-2.357308404E-4,2.235055398E-2
1.084200417E-1,-1.323360251E-3,2.579547092E-2,1.419274323E-2,2.947187749E-2
1.183990417E-1,2.255587839E-2,3.272967786E-2,2.011095360E-2,4.454716508E-2
1.283780417E-1,4.305582866E-2,2.710108832E-2,1.698972844E-2,5.363696712E-2
1.383570418E-1,5.011513084E-2,2.160833590E-2,9.986140765E-3,5.548125383E-2
1.483360417E-1,4.312859476E-2,1.528093033E-2,-2.490235958E-3,4.582339787E-2
1.583150417E-1,2.984356135E-2,1.129161753E-2,-2.194422670E-2,3.872580362E-2
1.682940418E-1,1.697862893E-2,3.772715107E-3,-3.886621818E-2,4.258039614E-2
1.782730417E-1,4.580601584E-3,-4.691864364E-3,-6.030572578E-2,6.066115779E-2
1.882510417E-1,-2.672251547E-3,-2.012990881E-3,-7.957529277E-2,7.964559171E-2
1.982300418E-1,-4.784177523E-3,4.292033613E-3,-8.767769486E-2,8.791295742E-2
2.082090417E-1,-3.293606453E-3,1.809701440E-3,-8.537166566E-2,8.545433962E-2
2.181880417E-1,1.992554171E-3,-1.567440573E-3,-7.180685550E-2,7.185159455E-2
2.281670417E-1,4.168623127E-3,-6.944895256E-3,-5.331732333E-2,5.392908265E-2
2.381460418E-1,8.982453728E-4,-1.252735220E-2,-2.838034928E-2,3.103523196E-2
2.481250417E-1,-6.366858259E-3,-1.892133430E-2,-3.710860619E-4,1.996726022E-2
2.581040417E-1,-1.605226472E-2,-2.315370180E-2,2.151563577E-2,3.544984756E-2
2.680830418E-1,-2.437730692E-2,-1.602894627E-2,3.637847304E-2,4.663232261E-2
2.780620417E-1,-2.916722931E-2,-1.259479113E-2,4.524067417E-2,5.528177483E-2
2.880410417E-1,-3.238965571E-2,-4.503309261E-3,5.037365109E-2,6.005725864E-2
2.980200417E-1,-3.109593317E-2,5.229002796E-3,4.969128221E-2,5.885170395E-2
3.079980417E-1,-2.784767561E-2,1.235722005E-2,4.808725789E-2,5.692607747E-2
3.179770417E-1,-2.039985731E-2,1.922478527E-2,4.192863032E-2,5.043566781E-2
3.279560417E-1,-1.567887142E-2,2.758871019E-2,3.745718300E-2,4.909179664E-2
3.379350418E-1,-1.111527719E-2,2.424591035E-2,3.256309405E-2,4.209238232E-2
3.479140417E-1,-1.065934449E-2,1.532325428E-2,2.908340842E-2,3.455818849E-2
3.578930417E-1,-1.025109179E-2,4.017800093E-3,2.224580757E-2,2.482143338E-2
3.678720418E-1,-7.388193160E-3,-7.143774070E-3,9.769165888E-3,1.417940437E-2
3.778510417E-1,-4.680830054E-3,-8.874164894E-3,-3.964090720E-3,1.078772394E-2
3.878300417E-1,-7.836143486E-3,-7.819818333E-3,-1.728921570E-2,2.052977552E-2
3.978090417E-1,-9.682165459E-3,-7.633774541E-3,-2.439173870E-2,2.733085726E-2
4.077880417E-1,-8.377214894E-3,-1.248019561E-2,-3.062087111E-2,3.411115301E-2
4.177670417E-1,-6.213983055E-3,-1.378163043E-2,-3.548919037E-2,3.857498614E-2
4.277460417E-1,-3.256276250E-3,-1.662934944E-2,-4.146505892E-2,4.479385794E-2
4.377240418E-1,4.854423460E-4,-2.049739659E-2,-4.344558343E-2,4.804058327E-2
4.477030417E-1,-1.603008481E-3,-1.525389869E-2,-4.361842573E-2,4.623654533E-2
4.576820417E-1,-5.979048088E-3,-1.093856059E-2,-4.014746472E-2,4.203831642E-2
4.676610418E-1,-1.387532055E-2,-6.846613716E-3,-3.430848569E-2,3.763605758E-2
4.776400417E-1,-2.495860122E-2,-5.561307538E-3,-2.487749793E-2,3.567561940E-2
4.876190417E-1,-3.658436239E-2,2.705943771E-3,-1.213613525E-2,3.863966203E-2
4.975980417E-1,-4.372458532E-2,5.191932432E-3,-9.007228655E-4,4.404096759E-2
5.075770417E-1,-4.588361084E-2,-3.623663913E-3,9.734344669E-3,4.704459746E-2
5.175560417E-1,-4.885598272E-2,-1.526154857E-2,1.523097698E-2,5.340228995E-2
5.275350417E-1,-5.706517771E-2,-1.659073308E-2,1.840280183E-2,6.221213745E-2
5.375140418E-1,-6.316781044E-2,-1.051326469E-2,2.175825089E-2,6.763225926E-2
5.474930417E-1,-6.357154250E-2,-1.068290882E-2,1.933743618E-2,6.730083205E-2
5.574720417E-1,-5.993073434E-2,-1.014681347E-2,1.411950681E-2,6.240201290E-2
5.674500418E-1,-4.923041910E-2,-1.336790621E-2,1.489102468E-2,5.314205206E-2
5.774290417E-1,-3.645124286E-2,-1.307788864E-2,1.568304747E-2,4.178136254E-2
5.874080417E-1,-2.050183527E-2,-1.153591834E-2,2.179979533E-2,3.207232043E-2
5.973870417E-1,-2.773714717E-3,-7.456557360E-3,2.484705113E-2,2.608964720E-2
6.073660417E-1,1.004541107E-2,-3.100691363E-3,2.448539436E-2,2.664693429E-2
6.173450417E-1,2.166986838E-2,4.065348767E-3,1.593957655E-2,2.720625584E-2
6.273240417E-1,2.549949288E-2,4.592654761E-3,4.000359215E-3,2.621677877E-2
6.373030418E-1,2.182030492E-2,2.322701039E-3,-3.824140644E-3,2.227430579E-2
6.472820417E-1,1.440792903E-2,-7.480927277E-3,-1.035660878E-2,1.925648040E-2
6.572610417E-1,4.037338775E-3,-2.218503132E-2,-1.859616302E-2,2.922829106E-2
6.672400418E-1,-5.431530531E-3,-2.317306399E-2,-2.438374609E-2,3.407432306E-2
6.772188334E-1,-1.246759854E-2,-1.238386519E-2,-2.824685909E-2,3.326689314E-2
6.871968334E-1,-1.046436932E-2,-7.130514365E-3,-3.353749588E-2,3.584844335E-2
6.971758334E-1,-8.113875985E-3,-2.366921864E-3,-3.536362201E-2,3.635963510E-2
7.071548334E-1,-6.179356016E-3,-5.220498424E-3,-3.188580275E-2,3.289593381E-2
7.171338334E-1,-2.389687113E-3,-8.370021358E-3,-3.658195585E-2,3.760328916E-2
7.271128334E-1,-1.121223439E-3,-8.091455325E-3,-4.015005752E-2,4.097262392E-2
7.370918334E-1,-1.008844236E-3,-8.109167218E-3,-4.109028727E-2,4.189496470E-2
7.470708333E-1,-3.269069130E-3,-4.626551177E-3,-3.814136982E-2,3.855977023E-2
7.570498334E-1,-9.379670024E-3,-4.527675454E-3,-3.013144433E-2,3.188074642E-2
7.670288334E-1,-1.605488360E-2,-2.172376029E-3,-2.207751200E-2,2.738421153E-2
7.770078334E-1,-2.445127815E-2,-3.835648298E-3,-9.371972643E-3,2.646528051E-2
7.869868334E-1,-3.378193080E-2,-6.267912686E-3,-2.188060898E-5,3.435849323E-2
7.969658334E-1,-3.994635865E-2,-9.593671188E-3,1.581806876E-2,4.402228294E-2
8.069448334E-1,-4.509025440E-2,-1.153165475E-2,2.864651754E-2,5.465101161E-2
8.169238333E-1,-4.708522931E-2,-1.479162835E-2,3.810792789E-2,6.235403159E-2
8.269018334E-1,-4.593580961E-2,-9.637614712E-3,4.385769367E-2,6.423767988E-2
8.368808334E-1,-3.711732104E-2,-6.010198034E-3,3.931520507E-2,5.440131755E-2
8.468598333E-1,-2.274264209E-2,-2.141157631E-3,2.942342684E-2,3.724983721E-2
8.568388334E-1,-1.126094908E-2,8.927074261E-3,2.021301910E-2,2.480055988E-2
8.668178334E-1,-6.119184196E-3,1.763268188E-2,1.784253865E-2,2.582076821E-2
8.767968334E-1,-1.277545746E-2,2.173595503E-2,2.366993390E-2,3.458221834E-2
8.867758334E-1,-1.996998675E-2,2.124327049E-2,2.843512781E-2,4.072632325E-2
8.967548334E-1,-2.582764067E-2,2.076535672E-2,2.655160800E-2,4.246474949E-2
9.067338334E-1,-2.086111158E-2,1.704172604E-2,1.756929979E-2,3.216032801E-2
9.167128333E-1,-1.314752363E-2,1.261455659E-2,4.575668834E-3,1.878619601E-2
9.266918334E-1,-5.734879989E-3,1.322894730E-2,-7.280724589E-3,1.615248729E-2
9.366708334E-1,-7.626812905E-3,1.409653295E-2,-1.281710342E-2,2.052215038E-2
9.466498333E-1,-1.957615092E-2,1.454927027E-2,-9.625570849E-3,2.622133796E-2
9.566278334E-1,-2.942739055E-2,1.441785879E-2,-1.866319682E-3,3.282269208E-2
9.666068334E-1,-3.429911286E-2,1.406871900E-2,5.916502327E-3,3.754148368E-2
9.765858334E-1,-3.184849396E-2,4.135853611E-3,1.282347832E-2,3.458140323E-2
9.865648334E-1,-2.142594568E-2,-9.751198813E-3,1.561500411E-2,2.824863502E-2
9.965438334E-1,-7.868884131E-3,-1.692842692E-2,1.389300451E-2,2.327029329E-2
1.006522833E0,6.731630303E-3,-1.408949587E-2,1.039840467E-2,1.876047868E-2
1.016501833E0,1.570093445E-2,-9.014697745E-3,6.512717810E-3,1.924057201E-2
1.026480833E0,2.161847800E-2,3.767144168E-3,3.646357451E-3,2.224513180E-2
1.036459833E0,2.251758054E-2,1.472565904E-2,2.848605160E-3,2.705551735E-2
1.046438833E0,2.379589714E-2,1.539171487E-2,2.486681566E-3,2.844878192E-2
1.056417833E0,2.310234495E-2,1.196187828E-2,-3.712954000E-3,2.627909628E-2
1.066396833E0,2.671039477E-2,1.152085885E-2,-7.058150601E-3,2.993313995E-2
1.076375833E0,2.522886544E-2,1.194190048E-2,-7.307156455E-3,2.885306178E-2
1.086353833E0,2.572474629E-2,1.144335791E-2,-6.032833830E-3,2.879423720E-2
1.096332833E0,2.281424776E-2,5.432222039E-3,-4.931751639E-3,2.396499763E-2
1.106311833E0,2.136229165E-2,-5.710443947E-3,-1.119703171E-3,2.214069578E-2
1.116290833E0,1.702528447E-2,-1.471274160E-2,4.617014434E-3,2.297045709E-2
1.126269833E0,1.063369680E-2,-1.720332913E-2,5.538201891E-3,2.096906581E-2
1.136248833E0,5.734542385E-3,-2.231520042E-2,6.214311812E-3,2.386358769E-2
1.146227833E0,2.110246802E-3,-3.103252873E-2,9.763773531E-3,3.260064807E-2
1.156206833E0,-3.323822748E-4,-2.578070015E-2,1.532598492E-2,2.999401260E-2
1.166185833E0,-3.004598198E-3,-1.806392521E-2,2.320414782E-2,2.955952435E-2
1.176164833E0,-1.675937325E-3,-1.391917840E-2,2.656525560E-2,3.003772791E-2
1.186143833E0,6.843248382E-3,-1.010047086E-2,2.483473346E-2,2.766972255E-2
1.196122833E0,1.056744345E-2,-3.666930832E-3,2.260047197E-2,2.521702949E-2
1.206100833E0,1.221088041E-2,1.999476925E-3,1.882970333E-2,2.253133897E-2
1.216079833E0,1.099687163E-2,5.578931421E-3,1.843268611E-2,2.217700562E-2
1.226058833E0,6.306779105E-3,7.155789528E-3,2.046760730E-2,2.258104814E-2
1.236037833E0,7.351635955E-3,7.796434220E-3,1.942805201E-2,2.218738702E-2
1.246016833E0,1.296211779E-2,6.907470990E-3,1.450253557E-2,2.064105596E-2
1.255995833E0,2.129435912E-2,-3.567640670E-4,6.870913785E-3,2.237825880E-2
