"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.954958356E-3,-2.896476746E-1,1.769919434E0,9.727820892E0,9.891764751E0
1.293295831E-2,-2.588117981E-1,1.760489044E0,9.800569611E0,9.960796651E0
2.291195840E-2,-2.297721863E-1,1.762135620E0,9.773925018E0,9.934159625E0
3.289095836E-2,-2.902464294E-1,1.775158539E0,9.643995209E0,9.810304502E0
4.286995833E-2,-3.381468201E-1,1.813029785E0,9.485025787E0,9.662667047E0
5.284895829E-2,-3.614982605E-1,1.866019592E0,9.493258667E0,9.681666707E0
6.282795838E-2,-4.044589233E-1,1.881886597E0,9.523944855E0,9.716512223E0
7.280695834E-2,-4.102967834E-1,1.914668427E0,9.538314972E0,9.737235292E0
8.278595831E-2,-4.165837097E-1,1.918260956E0,9.577084351E0,9.776185951E0
9.276495839E-2,-3.906875610E-1,1.899998932E0,9.628277893E0,9.821729374E0
1.027429583E-1,-3.501219177E-1,1.902693329E0,9.614506531E0,9.807219947E0
1.127219583E-1,-3.185375977E-1,1.916165314E0,9.571545868E0,9.766659921E0
1.227009584E-1,-2.992277527E-1,1.932331696E0,9.549092560E0,9.747236108E0
1.326799584E-1,-2.743794250E-1,1.957778778E0,9.538614349E0,9.741321549E0
1.426589583E-1,-2.327659607E-1,1.960323486E0,9.516011353E0,9.718617197E0
1.526379583E-1,-1.995350647E-1,1.966610413E0,9.479038239E0,9.682950825E0
1.626169584E-1,-1.851649475E-1,1.979932709E0,9.437574463E0,9.644803333E0
1.725959583E-1,-1.959425354E-1,1.985022125E0,9.371561737E0,9.581486091E0
1.825739583E-1,-1.797761536E-1,1.994452515E0,9.387279053E0,9.598498232E0
1.925529584E-1,-1.531315613E-1,1.986219635E0,9.363478546E0,9.573048010E0
2.025319583E-1,-1.204994202E-1,1.962119751E0,9.373358002E0,9.577279063E0
2.125109583E-1,-1.154100037E-1,1.941313019E0,9.367669830E0,9.567405801E0
2.224899584E-1,-1.011895752E-1,1.928888855E0,9.387279053E0,9.583937581E0
2.324689584E-1,-1.173559570E-1,1.932930450E0,9.415121155E0,9.612205725E0
2.424479583E-1,-1.586700439E-1,1.926344147E0,9.423503723E0,9.619688164E0
2.524269583E-1,-1.616638184E-1,1.927242279E0,9.464219055E0,9.659805397E0
2.624049584E-1,-1.390608215E-1,1.952389984E0,9.509425049E0,9.708775892E0
2.723839583E-1,-1.456471252E-1,1.930685120E0,9.544302521E0,9.738709808E0
2.823629583E-1,-1.598675537E-1,1.901944885E0,9.575288086E0,9.763661911E0
2.923419584E-1,-1.767823792E-1,1.875000916E0,9.561067657E0,9.744788104E0
3.023209583E-1,-1.856140137E-1,1.826202393E0,9.556277618E0,9.730976809E0
3.122999583E-1,-1.950444031E-1,1.823807373E0,9.540410614E0,9.715129970E0
3.222789584E-1,-1.538800049E-1,1.842668152E0,9.506431274E0,9.684592947E0
3.322579584E-1,-1.172062683E-1,1.856888580E0,9.466015320E0,9.647135251E0
3.422369583E-1,-9.086105347E-2,1.849404144E0,9.432185669E0,9.612215037E0
3.522149584E-1,-7.035369873E-2,1.845362549E0,9.411229248E0,9.590701149E0
3.621939584E-1,-8.068222046E-2,1.827699280E0,9.394464111E0,9.570943016E0
3.721729583E-1,-1.245410156E-1,1.797162781E0,9.426647186E0,9.597238233E0
3.821519583E-1,-1.110690308E-1,1.811083832E0,9.512718201E0,9.684222661E0
3.921309584E-1,-6.017486572E-2,1.817819824E0,9.573491821E0,9.744733736E0
4.021099583E-1,-2.365081787E-2,1.846410370E0,9.645791473E0,9.820951266E0
4.120889583E-1,2.664459229E-2,1.849104767E0,9.666897583E0,9.842195246E0
4.220679584E-1,2.125579834E-2,1.821262665E0,9.651629333E0,9.821985456E0
4.320459584E-1,-1.182540894E-2,1.793121185E0,9.618398438E0,9.784120396E0
4.420249583E-1,-5.658233643E-2,1.780846710E0,9.567653961E0,9.732143592E0
4.520039584E-1,-5.688171387E-2,1.778302002E0,9.566306763E0,9.730355524E0
4.619829584E-1,-4.101470947E-2,1.800455933E0,9.579179993E0,9.747000211E0
4.719619583E-1,-1.990859985E-2,1.812730408E0,9.571994934E0,9.742149398E0
4.819409583E-1,-1.586700439E-2,1.818119202E0,9.643695831E0,9.813596613E0
4.919199584E-1,-3.832031250E-2,1.814376984E0,9.654772797E0,9.823852098E0
5.018989583E-1,-6.092330933E-2,1.814975739E0,9.647288361E0,9.816721515E0
5.118769583E-1,-3.502716064E-2,1.822160797E0,9.614207153E0,9.785421609E0
5.218559584E-1,-1.721420288E-2,1.829046478E0,9.612111511E0,9.784599892E0
