"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.850291658E-3,1.752135903E-2,-8.686529472E-4,3.229552507E-2,3.675259882E-2
1.387529162E-2,-3.076053411E-2,-4.277573153E-2,1.150553115E-2,5.392912862E-2
2.390029165E-2,-4.018492997E-2,-5.618820712E-2,-2.748240018E-3,6.913389935E-2
3.392529167E-2,-2.318479121E-2,-3.653983027E-2,3.911820240E-3,4.345107682E-2
4.394929163E-2,3.091551829E-3,-9.431514889E-3,2.589754760E-2,2.773434942E-2
5.397429166E-2,1.624075882E-2,9.319894016E-3,4.974958301E-2,5.315678396E-2
6.399929163E-2,1.273523830E-2,2.129479870E-2,6.661352515E-2,7.108457272E-2
7.402329164E-2,-2.221777570E-3,2.206564508E-2,6.981961429E-2,7.325713295E-2
8.404829167E-2,-1.567180641E-2,1.404606830E-2,5.579354241E-2,5.963067102E-2
9.407329164E-2,-2.306243964E-2,-3.069006372E-3,3.526236117E-2,4.224605351E-2
1.040972917E-1,-2.237214707E-2,-1.252855454E-2,2.098089084E-2,3.313118506E-2
1.141222917E-1,-1.543731615E-2,-5.485625006E-3,1.402391121E-2,2.156554885E-2
1.241472916E-1,-8.561566472E-3,-2.292761579E-3,2.086370811E-2,2.266829266E-2
1.341722917E-1,8.821745869E-4,-3.805565415E-3,2.853236534E-2,2.879854913E-2
1.441962916E-1,6.953382399E-3,-5.602667108E-3,2.973371930E-2,3.104566748E-2
1.542212917E-1,8.715044707E-3,-9.699356742E-4,2.562370896E-2,2.708260033E-2
1.642462917E-1,1.010441594E-2,9.799189866E-5,1.086127572E-2,1.483496323E-2
1.742702916E-1,1.228111237E-2,-7.484698202E-3,-1.028537378E-2,1.768149717E-2
1.842952917E-1,9.771881625E-3,-1.595941000E-2,-2.244616672E-2,2.922366915E-2
1.943202916E-1,-6.745328195E-3,-1.499225292E-2,-1.712911576E-2,2.374181347E-2
2.043442916E-1,-2.335706167E-2,1.658362802E-3,-3.393329913E-3,2.366045614E-2
2.143692917E-1,-2.930875123E-2,7.543761283E-3,1.617103629E-2,3.431346161E-2
2.243942916E-1,-2.414621413E-2,1.666697906E-3,2.531713061E-2,3.502534284E-2
2.344192917E-1,-1.343804225E-2,-4.850658588E-4,2.738142759E-2,3.050506261E-2
2.444432916E-1,-7.018492091E-3,7.348089479E-3,2.342663333E-2,2.553548118E-2
2.544682916E-1,1.273621107E-3,5.811166950E-3,1.427496597E-2,1.546500648E-2
2.644932917E-1,4.281128757E-3,-2.010270488E-3,1.039260905E-2,1.141821237E-2
2.745172916E-1,5.475156941E-3,-4.849928897E-3,5.432020407E-3,9.110762840E-3
2.845422917E-1,6.899682339E-3,-3.640054725E-3,4.482603166E-3,8.997185445E-3
2.945672916E-1,1.292753778E-2,-1.172829606E-2,7.248413283E-3,1.890009674E-2
3.045912916E-1,1.700936444E-2,-1.619548164E-2,8.448965847E-3,2.495991042E-2
3.146162917E-1,1.657399535E-2,-1.262360346E-2,1.535359584E-2,2.588021621E-2
3.246412916E-1,1.131052338E-2,-1.724205911E-2,1.447368786E-2,2.519333606E-2
3.346662917E-1,4.368233494E-3,-2.351718023E-2,3.901547752E-4,2.392261379E-2
3.446902917E-1,-5.304367281E-3,-1.885132492E-2,-1.274002809E-2,2.336272842E-2
3.547152916E-1,-1.682221517E-2,-1.602220163E-2,-1.304803789E-2,2.664487119E-2
3.647402917E-1,-2.473686449E-2,-3.177692741E-2,-1.122696884E-2,4.180586574E-2
3.747642916E-1,-2.192525007E-2,-3.208656609E-2,-1.441400498E-2,4.144909955E-2
3.847892917E-1,-8.394795470E-3,-1.280767471E-2,-1.635278575E-2,2.240363194E-2
3.948142917E-1,3.132811747E-3,-2.889704192E-3,-1.115672477E-2,1.194309036E-2
4.048382916E-1,4.801548552E-3,-1.008183695E-2,-1.166192628E-2,1.614617074E-2
4.148632917E-1,5.935449153E-4,-2.644757554E-2,-1.752592623E-2,3.173302125E-2
4.248882916E-1,-7.344006561E-3,-2.685290761E-2,-2.712236159E-2,3.886689565E-2
4.349132917E-1,-1.632049493E-2,-2.020480111E-2,-2.863360569E-2,3.865845209E-2
4.449372917E-1,-2.476751059E-2,-2.535482123E-2,-1.538065169E-2,3.863755928E-2
4.549622916E-1,-3.489492089E-2,-3.258871660E-2,-3.777407575E-3,4.789518515E-2
4.649872917E-1,-3.547708690E-2,-2.935377695E-2,1.806442160E-3,4.608178761E-2
