"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.026833303E-3,-4.076023865E-1,3.776496735E0,8.717272339E0,9.508885546E0
1.205083332E-2,-3.665876770E-1,3.793112183E0,8.689280548E0,9.488186497E0
2.207483334E-2,-3.230282593E-1,3.702849884E0,8.780141602E0,9.534481164E0
3.209983330E-2,-2.374063110E-1,3.594924316E0,8.950786743E0,9.648648917E0
4.212383332E-2,-7.514373779E-2,3.542832642E0,9.172924805E0,9.833608655E0
5.214783334E-2,2.380050659E-2,3.456312561E0,9.331744537E0,9.951287308E0
6.217183336E-2,3.592529297E-2,3.390898590E0,9.486971741E0,1.007482589E1
7.219583332E-2,2.380050659E-2,3.355572052E0,9.559720459E0,1.013156876E1
8.221983333E-2,2.290237427E-2,3.363206177E0,9.547445984E0,1.012251970E1
9.224383335E-2,-3.517684937E-2,3.407064972E0,9.536069641E0,1.012649758E1
1.022688333E-1,-1.327738953E-1,3.508104858E0,9.551637268E0,1.017635510E1
1.122928333E-1,-1.571731567E-1,3.593876495E0,9.500743103E0,1.015897491E1
1.223168334E-1,-7.738906860E-2,3.606600037E0,9.423952789E0,1.009080963E1
1.323408333E-1,7.664062500E-2,3.565435638E0,9.129066010E0,9.800920941E0
1.423648333E-1,1.547781372E-1,3.547772369E0,8.826694794E0,9.514262243E0
1.523888333E-1,1.914518738E-1,3.537892914E0,8.648565216E0,9.346176779E0
1.624128333E-1,2.727328491E-1,3.559148712E0,8.572972412E0,9.286429817E0
1.724378333E-1,1.246907043E-1,3.750450897E0,8.758736115E0,9.528740107E0
1.824618333E-1,2.950364685E-1,3.555556183E0,9.068142700E0,9.744754400E0
1.924858333E-1,4.257147217E-1,3.363355865E0,9.132658539E0,9.741603959E0
2.025098333E-1,3.445834351E-1,3.693120117E0,9.622140656E0,1.031229677E1
2.125338333E-1,2.543211365E-1,4.017196198E0,9.983788605E0,1.076469133E1
2.225578333E-1,3.632945251E-1,4.164639587E0,9.622440033E0,1.049130869E1
2.325818333E-1,3.541635132E-1,4.125720520E0,9.514065399E0,1.037614774E1
2.426068333E-1,2.625540161E-1,3.957320709E0,9.402547302E0,1.020476445E1
2.526308333E-1,1.149609375E-1,3.767964478E0,9.486971741E0,1.020849671E1
2.626548333E-1,-8.517288208E-2,3.523822174E0,9.517508240E0,1.014926304E1
2.726788333E-1,-2.881507874E-1,3.269201660E0,9.279952240E0,9.843181597E0
2.827028334E-1,-4.264631653E-1,3.221450958E0,9.035510559E0,9.602086657E0
2.927268333E-1,-3.076103210E-1,2.991529083E0,8.180338898E0,8.715607543E0
3.027508333E-1,-1.788780212E-1,2.538121948E0,8.057444458E0,8.449643280E0
3.127758334E-1,-1.035845947E-1,1.788929901E0,8.412805481E0,8.601528702E0
3.227998333E-1,7.394622803E-2,1.506317596E0,8.237969055E0,8.374878799E0
3.328238333E-1,2.875520325E-1,1.949695587E0,7.888894958E0,8.131338311E0
3.428478334E-1,3.565585327E-1,2.262994080E0,7.736212463E0,8.068287270E0
3.528718333E-1,4.767585754E-1,2.546504517E0,7.723937988E0,8.146852278E0
3.628958333E-1,5.857319641E-1,2.791095886E0,7.960296478E0,8.455744686E0
3.729208334E-1,6.656657410E-1,2.889740753E0,8.324339447E0,8.836760703E0
3.829448333E-1,6.694079590E-1,2.656974792E0,8.682095490E0,9.104197062E0
3.929688333E-1,6.083349609E-1,1.903890839E0,8.886719971E0,9.108713608E0
4.029928333E-1,5.099894714E-1,9.442364502E-1,8.648415527E0,8.714743993E0
4.130168333E-1,5.339396667E-1,5.629792786E-1,9.067693634E0,9.100829911E0
4.230408333E-1,3.597019958E-1,1.190773773E0,1.037238052E1,1.044670309E1
4.330648333E-1,4.525090027E-1,1.111887817E0,1.067969147E1,1.074694695E1
4.430898333E-1,4.628375244E-1,1.031355286E0,1.074690170E1,1.080619306E1
4.531137084E-1,4.882846069E-1,8.177494812E-1,1.081201630E1,1.085388559E1
4.631377083E-1,5.745053101E-1,6.559359741E-1,1.077264816E1,1.080787938E1
4.731617083E-1,6.168672180E-1,6.870712280E-1,1.046907944E1,1.050972009E1
4.831857083E-1,5.387297058E-1,7.319778442E-1,1.011102402E1,1.015178940E1
4.932097083E-1,5.647755432E-1,7.610174561E-1,9.647438049E0,9.693873318E0
5.032347083E-1,6.661148071E-1,8.135581970E-1,9.277557220E0,9.336950994E0
5.132587083E-1,8.684939575E-1,7.626640320E-1,9.524842987E0,9.594715843E0
5.232827083E-1,1.003812561E0,5.316943359E-1,9.682914276E0,9.749316253E0
5.333067083E-1,9.328601074E-1,3.438349915E-1,9.991123352E0,1.004046793E1
5.433307083E-1,8.863069153E-1,3.309617615E-1,1.043450134E1,1.047730375E1
5.533547083E-1,7.351213074E-1,2.013313293E-1,1.055410263E1,1.058158873E1
5.633787083E-1,3.484753418E-1,1.621128845E-1,1.070678513E1,1.071368113E1
5.734037083E-1,-2.739303589E-2,1.263372803E-1,1.112830856E1,1.112905939E1
5.834277083E-1,-3.417393494E-1,7.095245361E-2,1.141301651E1,1.141835215E1
5.934517083E-1,-3.806584167E-1,1.264869690E-1,1.137783966E1,1.138490822E1
6.034757083E-1,-8.053253174E-2,1.712438965E-1,1.115659973E1,1.115820449E1
6.134997084E-1,2.462379456E-1,1.683998108E-1,1.078806610E1,1.079218985E1
