"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.232916664E-3,-1.499880981E-1,8.014334106E-1,9.412875824E0,9.448122735E0
8.791083354E-3,-1.435514832E-1,7.945477295E-1,9.758357391E0,9.791703228E0
1.881608338E-2,-3.068618774E-2,7.728428650E-1,1.000160156E1,1.003146358E1
2.884108335E-2,2.335144043E-2,7.081773376E-1,9.971214752E0,9.996358540E0
3.886608337E-2,1.210981750E-1,6.170169067E-1,9.874815216E0,9.894814308E0
4.889008333E-2,2.712359619E-1,5.848338318E-1,9.895771637E0,9.916748250E0
5.891508335E-2,3.037184143E-1,5.391787720E-1,1.010608429E1,1.012501350E1
6.894008338E-2,2.698887634E-1,5.110372925E-1,1.008003845E1,1.009659221E1
7.896508335E-2,2.481838989E-1,5.366340637E-1,9.949360199E0,9.966912247E0
8.898908336E-2,1.869612122E-1,5.852828979E-1,9.844129028E0,9.863284792E0
9.901408333E-2,1.311273193E-1,6.680607605E-1,9.750124512E0,9.773864514E0
1.090390834E-1,1.646575928E-2,7.101232910E-1,9.785900116E0,9.811645493E0
1.190640834E-1,-1.031355286E-1,7.761360168E-1,9.876761169E0,9.907746225E0
1.290880833E-1,-2.935395813E-1,7.740403748E-1,1.012629227E1,1.016007377E1
1.391130834E-1,-4.019142151E-1,7.637118530E-1,1.019035904E1,1.022683764E1
1.491380833E-1,-4.894821167E-1,8.238867188E-1,1.004860382E1,1.009419738E1
1.591630834E-1,-3.746708679E-1,6.879693604E-1,9.922715607E0,9.953590564E0
1.691870834E-1,-9.460327148E-2,8.170010376E-1,9.901459808E0,9.935559713E0
1.792120833E-1,1.252894592E-1,9.801617432E-1,9.557475128E0,9.608420542E0
1.892370834E-1,1.818717957E-1,8.605604553E-1,9.329648895E0,9.371018630E0
1.992620833E-1,2.180964661E-1,7.316784668E-1,9.412875824E0,9.443789003E0
2.092860834E-1,3.454815674E-1,7.288343811E-1,9.530381470E0,9.564451266E0
2.193110834E-1,6.014492798E-1,6.080355835E-1,9.800419922E0,9.837666347E0
2.293360833E-1,6.206094360E-1,4.839436340E-1,1.021924896E1,1.024950764E1
2.393610834E-1,6.481521606E-1,4.894821167E-1,1.035875885E1,1.039055239E1
2.493850833E-1,5.709127808E-1,5.191204834E-1,1.031175659E1,1.034058758E1
2.594100834E-1,4.444258118E-1,5.566923523E-1,1.017194733E1,1.019685898E1
2.694350834E-1,2.763253784E-1,6.545887756E-1,9.936786346E0,9.962156648E0
2.794600833E-1,1.231938171E-1,7.767347717E-1,9.636211395E0,9.668250290E0
2.894840834E-1,1.152603149E-2,9.333091736E-1,9.411528625E0,9.457698977E0
2.995090833E-1,-8.352630615E-2,1.033600616E0,9.310339050E0,9.367909057E0
3.095340834E-1,-1.559756470E-1,1.053958282E0,9.370064850E0,9.430443879E0
3.195590834E-1,-1.089733887E-1,1.016685791E0,9.462273102E0,9.517359794E0
3.295830833E-1,-1.085243225E-1,9.988728333E-1,9.527088318E0,9.579923605E0
3.396080834E-1,-2.339634705E-1,9.539662170E-1,9.562265167E0,9.612580589E0
3.496330833E-1,-3.131488037E-1,9.330097961E-1,9.653126221E0,9.703165220E0
3.596580834E-1,-3.218307495E-1,9.141490173E-1,9.761800232E0,9.809790376E0
3.696820834E-1,-2.968327332E-1,9.232800293E-1,9.853409729E0,9.901022118E0
3.797070833E-1,-2.517764282E-1,8.957373047E-1,9.935139771E0,9.978614080E0
3.897320834E-1,5.313949585E-2,7.708969116E-1,9.987081757E0,1.001693106E1
3.997570833E-1,3.408412170E-1,6.825805664E-1,1.007075775E1,1.009961636E1
4.097810833E-1,2.356100464E-1,6.740483093E-1,1.032268387E1,1.034735017E1
4.198060834E-1,2.061213684E-1,7.557783508E-1,1.030951126E1,1.033923157E1
4.298310833E-1,3.183879089E-1,6.831793213E-1,1.016745667E1,1.019535580E1
4.398560834E-1,3.291654968E-1,6.535409546E-1,1.002525238E1,1.005192275E1
4.498800834E-1,2.790197754E-1,7.316784668E-1,9.855655060E0,9.886715434E0
4.599050833E-1,1.892065430E-1,8.406518555E-1,9.648785248E0,9.687184907E0
4.699300834E-1,7.993377686E-2,8.702902222E-1,9.433981934E0,9.474376476E0
4.799550833E-1,1.332229614E-1,9.324110413E-1,9.426198120E0,9.473138324E0
4.899790834E-1,3.113525391E-1,9.689350891E-1,9.536219330E0,9.590373023E0
5.000040834E-1,3.716770935E-1,9.475296021E-1,9.596094818E0,9.649921863E0
5.100290834E-1,3.055146790E-1,9.177415466E-1,9.553583221E0,9.602423711E0
5.200540834E-1,1.770817566E-1,8.418493652E-1,9.480235748E0,9.519187893E0
5.300780833E-1,1.710942078E-1,8.234376526E-1,9.505832520E0,9.542964670E0
5.401030834E-1,2.866539001E-1,8.340655518E-1,9.670190735E0,9.710325672E0
5.501280833E-1,3.450325012E-1,7.955955505E-1,9.885742493E0,9.923705172E0
5.601530834E-1,3.827540588E-1,7.584727478E-1,1.002989273E1,1.006580994E1
5.701770834E-1,4.046086121E-1,7.484436035E-1,1.013018417E1,1.016585006E1
5.802020833E-1,4.731660461E-1,7.442523193E-1,1.012404694E1,1.016238771E1
5.902270834E-1,4.860392761E-1,7.493417358E-1,1.009336075E1,1.013280210E1
6.002520833E-1,4.519102478E-1,6.749464417E-1,1.006417145E1,1.009689668E1
6.102760833E-1,4.065545654E-1,6.357279968E-1,1.013826736E1,1.016631211E1
6.203010834E-1,2.806663513E-1,6.563850403E-1,1.020233414E1,1.022727905E1
6.303260833E-1,1.844165039E-1,7.255412292E-1,1.024873764E1,1.027604217E1
6.403510834E-1,3.150947571E-1,8.419990540E-1,1.012150223E1,1.016135102E1
6.503750834E-1,3.603007507E-1,9.415420532E-1,1.000818787E1,1.005883405E1
6.604000833E-1,2.725831604E-1,8.951385498E-1,9.805659027E0,9.850204239E0
6.704250834E-1,3.532653809E-1,1.017134857E0,9.494306488E0,9.555166950E0
