"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.057833317E-3,-4.581971741E-1,1.764231262E0,9.846673737E0,1.001396227E1
8.922166657E-3,-2.731819153E-1,1.722019043E0,9.800569611E0,9.954453407E0
1.890116662E-2,-2.179467773E-1,1.675316162E0,9.738299103E0,9.883757102E0
2.888016659E-2,-1.654060364E-1,1.740730133E0,9.674232330E0,9.830985288E0
3.885916667E-2,-1.020877075E-1,1.801054688E0,9.528884583E0,9.698137000E0
4.883816664E-2,-6.556365967E-2,1.829345856E0,9.386680298E0,9.563502071E0
5.881716660E-2,-7.185058594E-2,1.860481110E0,9.284742279E0,9.469582444E0
6.879716669E-2,-9.385482788E-2,1.896855469E0,9.246421967E0,9.439448532E0
7.877616666E-2,-2.772235107E-1,1.861079865E0,9.223070526E0,9.413049509E0
8.875516662E-2,-4.441264343E-1,1.839075623E0,9.189240875E0,9.381982482E0
9.873416659E-2,-3.499722290E-1,1.983375549E0,9.372010803E0,9.585971293E0
1.087131667E-1,-3.112028503E-1,1.995500336E0,9.419312439E0,9.633395851E0
1.186931666E-1,-2.709365845E-1,1.951192474E0,9.353748779E0,9.558931684E0
1.286721666E-1,-2.119592285E-1,1.933529205E0,9.324559479E0,9.525275396E0
1.386511667E-1,-1.899549866E-1,1.892963562E0,9.329648895E0,9.521645995E0
1.486301667E-1,-1.466949463E-1,1.866768036E0,9.323361969E0,9.509543665E0
1.586091666E-1,-5.822891235E-2,1.844165039E0,9.368268585E0,9.548234998E0
1.685891666E-1,-1.945953369E-2,1.797162781E0,9.407786407E0,9.577923461E0
1.785681667E-1,-1.511856079E-2,1.734143829E0,9.385632477E0,9.544505246E0
1.885471666E-1,2.245330811E-2,1.710942078E0,9.391919403E0,9.546516486E0
1.985261666E-1,3.353027344E-2,1.663939819E0,9.426198120E0,9.571992008E0
2.085051667E-1,9.490264893E-2,1.634900208E0,9.476643219E0,9.617103093E0
2.184851667E-1,1.580712891E-1,1.628014526E0,9.558522949E0,9.697462493E0
2.284641666E-1,2.062710571E-1,1.589095459E0,9.597891083E0,9.730739199E0
2.384431666E-1,2.399510193E-1,1.587448883E0,9.596693573E0,9.730061561E0
2.484221667E-1,2.149530029E-1,1.583556976E0,9.587861938E0,9.720131380E0
2.584011666E-1,1.938468933E-1,1.591789856E0,9.590406647E0,9.723542112E0
2.683801666E-1,1.564247131E-1,1.611249390E0,9.590855713E0,9.726515645E0
2.783601667E-1,7.828720093E-2,1.601369934E0,9.615554352E0,9.748302419E0
2.883391667E-1,1.945953369E-3,1.584305420E0,9.658365326E0,9.787443395E0
2.983181666E-1,-4.400848389E-2,1.618135071E0,9.721533966E0,9.855380282E0
3.082971666E-1,-6.616241455E-2,1.670376434E0,9.748477936E0,9.890771303E0
3.182761667E-1,-9.834548950E-2,1.674118652E0,9.817933502E0,9.960128681E0
3.282561667E-1,-1.275347900E-1,1.689386902E0,9.843530273E0,9.988262185E0
3.382351666E-1,-1.347198486E-1,1.706750793E0,9.832004242E0,9.979952661E0
3.482141666E-1,-1.698966980E-1,1.712588654E0,9.792785797E0,9.942860678E0
3.581931667E-1,-1.499880981E-1,1.737287292E0,9.718540192E0,9.873737237E0
